id,age,income,education,gender,satisfaction
1,25,45000,12,1,3.5
2,30,52000,16,0,4.2
3,35,61000,18,1,4.5
4,28,48000,14,0,3.8
5,42,75000,20,1,4.8
6,23,38000,10,0,3.2
7,31,55000,16,1,4.0
8,38,68000,18,0,4.3
9,27,46000,13,1,3.6
10,45,82000,20,0,4.9
11,29,50000,15,1,3.9
12,33,58000,17,0,4.1
13,26,42000,12,1,3.4
14,40,72000,19,0,4.7
15,24,40000,11,1,3.3
16,36,63000,17,0,4.4
17,32,56000,16,1,4.0
18,39,70000,19,0,4.6
19,27,47000,13,1,3.7
20,41,78000,20,0,4.8
21,28,49000,14,0,3.8
22,34,60000,17,1,4.2
23,30,53000,16,0,3.9
24,37,65000,18,1,4.5
25,25,44000,12,0,3.5
26,43,80000,20,1,4.9
27,29,51000,15,0,3.8
28,35,62000,17,1,4.3
29,26,43000,12,0,3.4
30,44,85000,21,1,5.0
